pl_hostname,pl_name,pl_disc,pl_kepflag,pl_locale,pl_discmethod,pl_facility,pl_pnum,pl_orbper,st_dist,st_age,pl_masse,pl_rade,pl_bmassj,pl_radj,pl_dens,st_mass,st_rad,st_dens
Kepler-173,Kepler-173 b,2014,1,Space,Transit,Kepler,2,4.263742,810,,,1.29,,0.115,,,0.95,
Kepler-173,Kepler-173 c,2014,1,Space,Transit,Kepler,2,8.005777,810,,,2.43,,0.217,,,0.95,
Kepler-174,Kepler-174 b,2014,1,Space,Transit,Kepler,3,13.98179,371,,,1.96,,0.175,,,0.62,
Kepler-174,Kepler-174 c,2014,1,Space,Transit,Kepler,3,44.000529,371,,,1.49,,0.133,,,0.62,
Kepler-174,Kepler-174 d,2014,1,Space,Transit,Kepler,3,247.35373,371,,,2.19,,0.195,,,0.62,
Kepler-175,Kepler-175 b,2014,1,Space,Transit,Kepler,2,11.903515,1279,,,2.56,,0.228,,,1.01,
Kepler-175,Kepler-175 c,2014,1,Space,Transit,Kepler,2,34.035257,1279,,,3.1,,0.277,,,1.01,
Kepler-176,Kepler-176 b,2014,1,Space,Transit,Kepler,4,5.433074,564,,,1.43,,0.128,,,0.89,
Kepler-176,Kepler-176 c,2014,1,Space,Transit,Kepler,4,12.759712,564,,,2.6,,0.232,,,0.89,
Kepler-176,Kepler-176 d,2014,1,Space,Transit,Kepler,4,25.751974,564,,,2.51,,0.224,,,0.89,
Kepler-176,Kepler-176 e,2016,1,Space,Transit,Kepler,4,51.16579,564,,,1.45,,0.129,,,0.89,
Kepler-177,Kepler-177 b,2013,1,Space,Transit,Kepler,2,36.855,1068,,2,2.9,0.006,0.259,,,1.05,
Kepler-177,Kepler-177 c,2013,1,Space,Transit,Kepler,2,49.412,1068,,7.5,7.1,0.024,0.633,,,1.05,
Kepler-178,Kepler-178 b,2014,1,Space,Transit,Kepler,3,9.576694,741,,,2.9,,0.259,,,1.07,
Kepler-178,Kepler-178 c,2014,1,Space,Transit,Kepler,3,20.552802,741,,,2.88,,0.257,,,1.07,
Kepler-178,Kepler-178 d,2014,1,Space,Transit,Kepler,3,96.678988,741,,,3.95,,0.352,,,1.07,
Kepler-179,Kepler-179 b,2014,1,Space,Transit,Kepler,2,2.735926,660,,,1.64,,0.146,,,0.76,
Kepler-179,Kepler-179 c,2014,1,Space,Transit,Kepler,2,6.40013,660,,,2,,0.178,,,0.76,
Kepler-18,Kepler-18 b,2011,1,Space,Transit,Kepler,3,3.504725,507,10,6.9,2,0.022,0.178,4.9,0.97,1.11,1.01
Kepler-18,Kepler-18 c,2011,1,Space,Transit,Kepler,3,7.64159,507,10,17.3,5.49,0.054,0.49,0.59,0.97,1.11,1.01
Kepler-18,Kepler-18 d,2011,1,Space,Transit,Kepler,3,14.85888,507,10,16.4,6.98,0.052,0.623,0.27,0.97,1.11,1.01
Kepler-180,Kepler-180 b,2014,1,Space,Transit,Kepler,2,13.817124,675,,,1.5,,0.134,,,1.06,
Kepler-180,Kepler-180 c,2014,1,Space,Transit,Kepler,2,41.885775,675,,,3.01,,0.269,,,1.06,
Kepler-181,Kepler-181 b,2014,1,Space,Transit,Kepler,2,3.137873,667,,,1.27,,0.113,,,0.75,
Kepler-181,Kepler-181 c,2014,1,Space,Transit,Kepler,2,4.302149,667,,,1.99,,0.178,,,0.75,
