pl_hostname,pl_name,pl_disc,pl_kepflag,pl_locale,pl_discmethod,pl_facility,pl_pnum,pl_orbper,st_dist,st_age,pl_masse,pl_rade,pl_bmassj,pl_radj,pl_dens,st_mass,st_rad,st_dens
Kepler-92,Kepler-92 d,2015,1,Space,Transit,Kepler,3,49.3568,444,,,2.067,,0.184,,,1.53,
Kepler-920,Kepler-920 b,2016,1,Space,Transit,Kepler,2,6.53192704,926,4.37,,2.42,,0.216,,0.89,0.85,
Kepler-920,Kepler-920 c,2016,1,Space,Transit,Kepler,2,100.8274113,926,4.37,,3.8,,0.339,,0.89,0.85,
Kepler-921,Kepler-921 b,2016,1,Space,Transit,Kepler,1,51.300634,847,4.27,,2.87,,0.256,,0.93,0.91,
Kepler-922,Kepler-922 b,2016,1,Space,Transit,Kepler,1,0.93846683,558,4.37,,1.42,,0.127,,0.95,0.93,
Kepler-923,Kepler-923 b,2016,1,Space,Transit,Kepler,1,6.93366476,966,4.68,,1.38,,0.123,,1.11,1.26,
Kepler-924,Kepler-924 b,2016,1,Space,Transit,Kepler,1,61.0370117,995,3.09,,3.07,,0.274,,1.14,1.23,
Kepler-925,Kepler-925 b,2016,1,Space,Transit,Kepler,1,33.8678531,623,2.57,,2.34,,0.209,,0.77,0.72,
Kepler-926,Kepler-926 b,2016,1,Space,Transit,Kepler,1,52.0688601,771,4.37,,2.31,,0.206,,1.01,1.01,
Kepler-927,Kepler-927 b,2016,1,Space,Transit,Kepler,1,9.1149903,879,4.37,,1.72,,0.153,,0.99,0.99,
Kepler-928,Kepler-928 b,2016,1,Space,Transit,Kepler,1,3.9324613,532,4.37,,1.59,,0.142,,0.73,0.7,
Kepler-929,Kepler-929 b,2016,1,Space,Transit,Kepler,1,0.92103214,820,3.47,,1.11,,0.099,,1.01,1.02,
Kepler-93,Kepler-93 b,2014,1,Space,Transit,Kepler,2,4.72674,95.9,,3.1783,1.569,0.01,0.14,,1.09,0.98,1.65
Kepler-93,Kepler-93 c,2014,1,Ground,Radial Velocity,W. M. Keck Observatory,2,1460,95.9,,954,,3,,,1.09,0.98,1.65
Kepler-930,Kepler-930 b,2016,1,Space,Transit,Kepler,1,71.4517775,905,2.34,,2.13,,0.19,,1.25,1.4,
Kepler-931,Kepler-931 b,2016,1,Space,Transit,Kepler,1,8.03755877,490,4.68,,1.33,,0.119,,0.86,0.81,
Kepler-932,Kepler-932 b,2016,1,Space,Transit,Kepler,1,1.9214374,478,4.68,,1.37,,0.122,,0.87,0.84,
Kepler-933,Kepler-933 b,2016,1,Space,Transit,Kepler,1,14.20443009,922,4.68,,2.46,,0.219,,0.87,0.84,
Kepler-934,Kepler-934 b,2016,1,Space,Transit,Kepler,1,55.6738309,603,4.47,,2.09,,0.186,,0.81,0.77,
Kepler-935,Kepler-935 b,2016,1,Space,Transit,Kepler,1,4.88083852,482,3.8,,1.35,,0.12,,0.78,0.73,
Kepler-936,Kepler-936 b,2016,1,Space,Transit,Kepler,1,10.56134221,687,4.57,,1.45,,0.129,,0.92,0.89,
Kepler-937,Kepler-937 b,2016,1,Space,Transit,Kepler,2,67.668827,1482,3.24,,3.72,,0.332,,1.15,1.22,
Kepler-937,Kepler-937 c,2016,1,Space,Transit,Kepler,2,153.343364,1482,3.24,,2.67,,0.238,,1.15,1.22,
Kepler-938,Kepler-938 b,2016,1,Space,Transit,Kepler,1,52.6298417,861,4.27,,2.22,,0.198,,0.92,0.89,
Kepler-939,Kepler-939 b,2016,1,Space,Transit,Kepler,1,14.878296,1029,4.47,,1.75,,0.156,,0.88,0.85,
Kepler-94,Kepler-94 b,2014,1,Space,Transit,Kepler,2,2.50806,191,1.41,10.84,3.51,0.034,0.313,1.45,0.81,0.76,2.9
Kepler-94,Kepler-94 c,2014,1,Ground,Radial Velocity,W. M. Keck Observatory,2,820.3,191,1.41,3126,,9.836,,,0.81,0.76,2.9
Kepler-940,Kepler-940 b,2016,1,Space,Transit,Kepler,1,59.6225257,1317,3.63,,3.34,,0.298,,0.97,0.96,
Kepler-941,Kepler-941 b,2016,1,Space,Transit,Kepler,1,17.42395198,1105,4.07,,3.08,,0.275,,0.89,0.86,
Kepler-942,Kepler-942 b,2016,1,Space,Transit,Kepler,1,44.96417488,218,4.17,,2.13,,0.19,,0.81,0.75,
Kepler-943,Kepler-943 b,2016,1,Space,Transit,Kepler,1,49.7701438,1239,4.27,,5.93,,0.529,,0.93,0.91,
Kepler-944,Kepler-944 b,2016,1,Space,Transit,Kepler,1,43.3167737,1035,4.47,,2.63,,0.235,,0.86,0.83,
Kepler-945,Kepler-945 b,2016,1,Space,Transit,Kepler,1,31.0033814,1543,4.47,,2.63,,0.235,,0.97,0.97,
Kepler-946,Kepler-946 b,2016,1,Space,Transit,Kepler,1,11.79162572,918,4.17,,1.93,,0.172,,0.94,0.93,
Kepler-947,Kepler-947 b,2016,1,Space,Transit,Kepler,1,26.9644317,1188,4.27,,2.28,,0.203,,0.9,0.87,
Kepler-948,Kepler-948 b,2016,1,Space,Transit,Kepler,1,7.76846622,884,4.17,,1.85,,0.165,,0.96,0.94,
Kepler-949,Kepler-949 b,2016,1,Space,Transit,Kepler,1,8.6893073,572,4.57,,2.91,,0.26,,0.89,0.86,
Kepler-95,Kepler-95 b,2014,1,Space,Transit,Kepler,1,11.5231,443,5.63,13,3.42,0.041,0.305,1.71,1.08,1.41,0.54
Kepler-950,Kepler-950 b,2016,1,Space,Transit,Kepler,1,98.7180406,1489,3.8,,8.98,,0.801,,1.02,1.02,
Kepler-951,Kepler-951 b,2016,1,Space,Transit,Kepler,1,71.52530845,408,4.27,,5.59,,0.499,,0.77,0.73,
Kepler-952,Kepler-952 b,2016,1,Space,Transit,Kepler,1,130.3546919,1167,4.27,,7.65,,0.682,,1,0.99,
Kepler-953,Kepler-953 b,2016,1,Space,Transit,Kepler,2,88.40655258,240,8.71,,4.21,,0.376,,0.95,0.99,
Kepler-953,Kepler-953 c,2016,1,Space,Transit,Kepler,2,9.10967112,240,8.71,,1.19,,0.106,,0.95,0.99,
Kepler-954,Kepler-954 b,2016,1,Space,Transit,Kepler,1,16.78176602,224,3.39,,2.32,,0.207,,0.82,0.76,
Kepler-955,Kepler-955 b,2016,1,Space,Transit,Kepler,1,14.53244172,637,4.37,,3.13,,0.279,,0.89,0.84,
Kepler-956,Kepler-956 b,2016,1,Space,Transit,Kepler,1,5.24867263,631,3.47,,3,,0.268,,1.1,1.15,
Kepler-957,Kepler-957 b,2016,1,Space,Transit,Kepler,1,5.90741354,749,2.75,,5.5,,0.491,,0.81,0.75,
Kepler-958,Kepler-958 b,2016,1,Space,Transit,Kepler,1,9.7678805,467,4.37,,2.06,,0.184,,0.91,0.86,
Kepler-959,Kepler-959 b,2016,1,Space,Transit,Kepler,1,14.80074836,1003,1.35,,4.38,,0.391,,1.6,2.01,
Kepler-96,Kepler-96 b,2014,1,Space,Transit,Kepler,1,16.2385,134,2.34,8.46,2.67,0.027,0.238,2.26,1,1.02,1.54
Kepler-960,Kepler-960 b,2016,1,Space,Transit,Kepler,1,3.12686223,298,3.63,,2.29,,0.204,,0.77,0.72,
Kepler-961,Kepler-961 b,2016,1,Space,Transit,Kepler,1,16.87727414,607,2.82,,2.55,,0.227,,0.96,0.9,
Kepler-962,Kepler-962 b,2016,1,Space,Transit,Kepler,1,12.05707239,439,2.4,,1.97,,0.176,,0.93,0.86,
Kepler-963,Kepler-963 b,2016,1,Space,Transit,Kepler,1,9.97683705,786,4.07,,2.66,,0.237,,0.91,0.87,
Kepler-964,Kepler-964 b,2016,1,Space,Transit,Kepler,1,13.5225106,478,1.91,,2.12,,0.189,,0.93,0.84,
Kepler-965,Kepler-965 b,2016,1,Space,Transit,Kepler,1,134.2527298,618,5.5,,3.38,,0.302,,1.05,1.15,
Kepler-966,Kepler-966 b,2016,1,Space,Transit,Kepler,1,99.747622,773,4.07,,4.13,,0.368,,1.02,1.02,
Kepler-967,Kepler-967 b,2016,1,Space,Transit,Kepler,2,13.22713379,499,5.89,,2.35,,0.21,,0.84,0.8,
Kepler-967,Kepler-967 c,2016,1,Space,Transit,Kepler,2,198.7112502,499,5.89,,3.65,,0.326,,0.84,0.8,
Kepler-968,Kepler-968 b,2016,1,Space,Transit,Kepler,2,3.69298373,312,2.14,,2,,0.178,,0.76,0.7,
Kepler-968,Kepler-968 c,2016,1,Space,Transit,Kepler,2,5.70940492,312,2.14,,1.69,,0.151,,0.76,0.7,
Kepler-969,Kepler-969 b,2016,1,Space,Transit,Kepler,2,34.1731714,411,1.51,,2.07,,0.185,,0.92,0.82,
Kepler-969,Kepler-969 c,2016,1,Space,Transit,Kepler,2,1.6829346,411,1.51,,0.99,,0.088,,0.92,0.82,
Kepler-97,Kepler-97 b,2014,1,Space,Transit,Kepler,2,2.58664,393,8.42,3.51,1.48,0.011,0.132,5.44,0.94,0.98,1.53
Kepler-97,Kepler-97 c,2014,1,Ground,Radial Velocity,W. M. Keck Observatory,2,789,393,8.42,344,,1.08,,,0.94,0.98,1.53
Kepler-970,Kepler-970 b,2016,1,Space,Transit,Kepler,1,16.73652231,350,4.68,,2.77,,0.247,,0.7,0.67,
Kepler-971,Kepler-971 b,2016,1,Space,Transit,Kepler,1,9.59070716,345,4.47,,2.13,,0.19,,0.88,0.85,
Kepler-972,Kepler-972 b,2016,1,Space,Transit,Kepler,1,7.03932553,1304,2.82,,4.65,,0.415,,1.15,1.22,
Kepler-973,Kepler-973 b,2016,1,Space,Transit,Kepler,1,49.6077331,297,2.29,,1.96,,0.175,,0.86,0.78,
Kepler-974,Kepler-974 b,2016,1,Space,Transit,Kepler,1,4.19449651,121,4.37,,1.57,,0.14,,0.52,0.5,
Kepler-975,Kepler-975 b,2016,1,Space,Transit,Kepler,1,1.97034246,404,3.89,,1.48,,0.132,,0.8,0.75,
Kepler-976,Kepler-976 b,2016,1,Space,Transit,Kepler,1,105.9564148,1020,4.68,,3.96,,0.353,,0.87,0.83,
Kepler-977,Kepler-977 b,2016,1,Space,Transit,Kepler,1,26.85328322,664,4.57,,2.62,,0.234,,0.87,0.83,
Kepler-978,Kepler-978 b,2016,1,Space,Transit,Kepler,1,49.6221509,624,3.63,,2.99,,0.267,,1.07,1.09,
Kepler-979,Kepler-979 b,2016,1,Space,Transit,Kepler,1,8.0880135,606,4.57,,2.72,,0.243,,0.87,0.83,
Kepler-98,Kepler-98 b,2014,1,Space,Transit,Kepler,1,1.54168,390,2.79,3.55,1.99,0.011,0.178,2.18,0.99,1.11,1.12
Kepler-980,Kepler-980 b,2016,1,Space,Transit,Kepler,1,11.55102504,804,3.55,,2.67,,0.238,,1.05,1.06,
Kepler-981,Kepler-981 b,2016,1,Space,Transit,Kepler,1,4.46975774,913,4.07,,2.31,,0.206,,0.98,0.96,
Kepler-982,Kepler-982 b,2016,1,Space,Transit,Kepler,1,15.7738221,702,3.55,,2.25,,0.201,,1.16,1.29,
Kepler-983,Kepler-983 b,2016,1,Space,Transit,Kepler,1,60.0855082,655,1.41,,2.36,,0.211,,1.13,1.08,
Kepler-984,Kepler-984 b,2016,1,Space,Transit,Kepler,1,43.0342272,461,3.98,,2.12,,0.189,,0.96,0.93,
Kepler-985,Kepler-985 b,2016,1,Space,Transit,Kepler,1,116.331901,741,3.39,,2.98,,0.266,,0.91,0.85,
Kepler-986,Kepler-986 b,2016,1,Space,Transit,Kepler,1,56.4349938,563,6.17,,2.36,,0.211,,0.96,0.98,
Kepler-987,Kepler-987 b,2016,1,Space,Transit,Kepler,1,105.3033148,936,2.45,,3.26,,0.291,,0.97,0.91,
Kepler-988,Kepler-988 b,2016,1,Space,Transit,Kepler,1,17.76080053,248,3.16,,2.07,,0.185,,0.55,0.53,
Kepler-989,Kepler-989 b,2016,1,Space,Transit,Kepler,1,7.96431535,484,4.68,,2.21,,0.197,,0.82,0.78,
Kepler-99,Kepler-99 b,2014,1,Space,Transit,Kepler,1,4.60358,210,1.47,6.15,1.48,0.019,0.132,10.9,0.79,0.73,2.86
Kepler-990,Kepler-990 b,2016,1,Space,Transit,Kepler,2,9.91723428,933,3.55,,2.6,,0.232,,1.05,1.08,
Kepler-990,Kepler-990 c,2016,1,Space,Transit,Kepler,2,0.53835431,933,3.55,,1.53,,0.136,,1.05,1.08,
Kepler-991,Kepler-991 b,2016,1,Space,Transit,Kepler,1,82.5342519,370,3.47,,2.54,,0.227,,0.64,0.61,
Kepler-992,Kepler-992 b,2016,1,Space,Transit,Kepler,1,20.16034462,268,3.02,,1.62,,0.145,,0.8,0.74,
Kepler-993,Kepler-993 b,2016,1,Space,Transit,Kepler,1,22.08557563,298,3.89,,2.97,,0.265,,0.57,0.54,
Kepler-994,Kepler-994 b,2016,1,Space,Transit,Kepler,1,1.15116651,170,3.24,,1.6,,0.143,,0.56,0.54,
Kepler-995,Kepler-995 b,2016,1,Space,Transit,Kepler,1,28.26731672,659,5.01,,2.7,,0.241,,0.83,0.8,
Kepler-996,Kepler-996 b,2016,1,Space,Transit,Kepler,1,3.77059058,1098,3.63,,1.98,,0.177,,1.09,1.14,
Kepler-997,Kepler-997 b,2016,1,Space,Transit,Kepler,1,2.70730672,470,3.63,,1.36,,0.121,,1.22,1.56,
Kepler-998,Kepler-998 b,2016,1,Space,Transit,Kepler,1,5.65377733,996,3.31,,2.32,,0.207,,1.12,1.18,
Kepler-999,Kepler-999 b,2016,1,Space,Transit,Kepler,1,5.99185702,568,3.09,,2.34,,0.209,,1.29,1.65,
LHS 1140,LHS 1140 b,2017,0,Ground,Transit,MEarth Project,2,24.736959,12.47,5,6.98,1.727,0.02196,0.154,7.5,0.18,0.21,
LHS 1140,LHS 1140 c,2018,0,Multiple Locales,Transit,Multiple Observatories,2,3.777931,12.47,5,1.81,1.282,0.00569,0.114,4.7,0.18,0.21,
LHS 3844,LHS 3844 b,2019,0,Space,Transit,Transiting Exoplanet Survey Satellite (TESS),1,0.46292913,14.9,,,1.303,,0.116,,0.15,0.19,31.73
LkCa 15,LkCa 15 b,2015,0,Ground,Imaging,Large Binocular Telescope Observatory,2,,158.87,,,,,,,,,
LkCa 15,LkCa 15 c,2015,0,Ground,Imaging,Large Binocular Telescope Observatory,2,,158.87,,,,,,,,,
Lupus-TR-3,Lupus-TR-3 b,2007,0,Ground,Transit,Multiple Observatories,1,3.91405,2000,,257.431,9.976,0.81,0.89,1.4,0.87,0.82,
MASCARA-1,MASCARA-1 b,2017,0,Ground,Transit,Multiple Observatories,1,2.14878,188.7,1,1175.971,16.814,3.7,1.5,1.5,1.72,2.1,0.33
MOA-2007-BLG-192L,MOA-2007-BLG-192L b,2008,0,Ground,Microlensing,MOA,1,,1000,,3.3,,0.01,,,0.06,,
MOA-2007-BLG-400L,MOA-2007-BLG-400L b,2008,0,Ground,Microlensing,MOA,1,,5800,,263.79,,0.83,,,0.3,,
MOA-2008-BLG-310L,MOA-2008-BLG-310L b,2009,0,Ground,Microlensing,MOA,1,,7700,,23.4,,0.07362,,,0.21,,
MOA-2008-BLG-379L,MOA-2008-BLG-379L b,2013,0,Ground,Microlensing,MOA,1,,3300,,1303,,4.1,,,0.56,,
MOA-2009-BLG-266L,MOA-2009-BLG-266L b,2011,0,Ground,Microlensing,MOA,1,2774,3040,,10.4,,0.033,,,0.56,,
MOA-2009-BLG-319L,MOA-2009-BLG-319L b,2010,0,Ground,Microlensing,MOA,1,,6100,,50,,0.16,,,0.38,,
MOA-2009-BLG-387L,MOA-2009-BLG-387L b,2010,0,Ground,Microlensing,MOA,1,1982,5690,,813.6448,,2.56,,,0.19,,
MOA-2010-BLG-073L,MOA-2010-BLG-073L b,2012,0,Ground,Microlensing,MOA,1,,2800,,3496,,11,,,0.16,,
MOA-2010-BLG-117L,MOA-2010-BLG-117L b,2018,0,Ground,Microlensing,MOA,1,,3500,,171.6282,,0.54,,,0.58,,
MOA-2010-BLG-328L,MOA-2010-BLG-328L b,2013,0,Ground,Microlensing,MOA,1,,810,,9.2,,0.02895,,,0.11,,
MOA-2010-BLG-353L,MOA-2010-BLG-353L b,2015,0,Ground,Microlensing,MOA,1,,6430,,85.8141,,0.27,,,0.18,,
MOA-2010-BLG-477L,MOA-2010-BLG-477L b,2012,0,Ground,Microlensing,MOA,1,,2300,,476.7,,1.5,,,0.67,,
MOA-2011-BLG-028L,MOA-2011-BLG-028L b,2016,0,Ground,Microlensing,MOA,1,,7380,,30,,0.09439,,,0.75,,
MOA-2011-BLG-262L,MOA-2011-BLG-262L b,2014,0,Ground,Microlensing,MOA,1,,7000,,18,,0.05663,,,0.12,,
MOA-2011-BLG-291L,MOA-2011-BLG-291L b,2018,0,Ground,Microlensing,MOA,1,,4400,,18,,0.05663,,,0.15,,
MOA-2011-BLG-293L,MOA-2011-BLG-293L b,2012,0,Ground,Microlensing,MOA,1,,7720,,1525.5,,4.8,,,0.86,,
MOA-2011-BLG-322L,MOA-2011-BLG-322L b,2013,0,Ground,Microlensing,MOA,1,,7560,,3686.7,,11.6,,,0.39,,
MOA-2012-BLG-006L,MOA-2012-BLG-006L b,2017,0,Ground,Microlensing,Multiple Observatories,1,,5300,,2669.772,,8.4,,,0.49,,
MOA-2012-BLG-505L,MOA-2012-BLG-505L b,2017,0,Ground,Microlensing,MOA,1,,7210,,6.7,,0.02108,,,0.1,,
MOA-2013-BLG-605L,MOA-2013-BLG-605L b,2016,0,Ground,Microlensing,MOA,1,,,,3.2,,0.01007,,,0.03,,
MOA-2015-BLG-337L,MOA-2015-BLG-337L b,2018,0,Ground,Microlensing,MOA,1,,7100,,33.7,,0.10603,,,0.01,,
MOA-2016-BLG-227L,MOA-2016-BLG-227L b,2017,0,Ground,Microlensing,MOA,1,,6500,,889.924,,2.8,,,0.29,,
MOA-2016-BLG-319L,MOA-2016-BLG-319L b,2018,0,Ground,Microlensing,MOA,1,,6800,,197.0546,,0.62,,,0.15,,
MOA-bin-1L,MOA-bin-1L b,2012,0,Ground,Microlensing,MOA,1,,5100,,1175.9,,3.7,,,0.75,,
MXB 1658-298,MXB 1658-298 b,2017,0,Space,Eclipse Timing Variations,Multiple Observatories,1,760,,,7532.571,,23.7,,,1.98,,
NGC 2682 Sand 364,NGC 2682 Sand 364 b,2014,0,Ground,Radial Velocity,Multiple Observatories,1,121.71,837.03,,,,6.69,,,9.06,39.59,
NGC 2682 Sand 978,NGC 2682 Sand 978 b,2017,0,Ground,Radial Velocity,Multiple Observatories,1,511.21,842.01,,,,2.18,,,1.37,,
NGC 2682 YBP 1194,NGC 2682 YBP 1194 b,2014,0,Ground,Radial Velocity,Multiple Observatories,1,6.959,895.73,,,,0.32,,,1.01,,
NGC 2682 YBP 1514,NGC 2682 YBP 1514 b,2014,0,Ground,Radial Velocity,Multiple Observatories,1,5.118,939.38,,,,0.4,,,0.96,,
NGC 2682 YBP 401,NGC 2682 YBP 401 b,2016,0,Ground,Radial Velocity,La Silla Observatory,1,4.087,851.36,,,,0.46,,,1.14,,
NGTS-1,NGTS-1 b,2017,0,Ground,Transit,Paranal Observatory,1,2.647298,224,,258.07796,14.908,0.812,1.33,0.42,0.62,0.57,4.4
NGTS-2,NGTS-2 b,2018,0,Ground,Transit,Paranal Observatory,1,4.511164,360.3,2.17,235.1942,17.878,0.74,1.595,0.226,1.64,1.7,0.477
NGTS-3 A,NGTS-3 A b,2018,0,Ground,Transit,Paranal Observatory,1,1.6753728,1010,,756.4354,16.589,2.38,1.48,0.31,1.02,0.93,1.09
NGTS-4,NGTS-4 b,2019,0,Ground,Transit,Paranal Observatory,1,1.3373508,282.6,,20.6,3.18,0.06481,0.284,3.45,0.75,0.84,1.91
NGTS-5,NGTS-5 b,2019,0,Ground,Transit,Paranal Observatory,1,3.3569866,309.5,,72.78307,12.733,0.229,1.136,,0.66,0.74,
NN Ser,NN Ser c,2010,0,Ground,Eclipse Timing Variations,Multiple Observatories,2,5573.55,500,,2329.6,,7.33,,,0.54,,
NN Ser,NN Ser d,2010,0,Ground,Eclipse Timing Variations,Multiple Observatories,2,2883.5,500,,731,,2.3,,,0.54,,
NY Vir,NY Vir b,2011,0,Ground,Eclipse Timing Variations,Multiple Observatories,1,2985.7,551.99,,,,2.78,,,,,
OGLE-2003-BLG-235L,OGLE-2003-BLG-235L b,2004,0,Ground,Microlensing,OGLE,1,,5800,,826.358,,2.6,,,0.63,,
OGLE-2005-BLG-071L,OGLE-2005-BLG-071L b,2005,0,Ground,Microlensing,OGLE,1,,3200,,1207.7,,3.8,,,0.46,,
OGLE-2005-BLG-169L,OGLE-2005-BLG-169L b,2006,0,Ground,Microlensing,OGLE,1,,4100,,14.1,,0.04436,,,0.69,,
OGLE-2005-BLG-390L,OGLE-2005-BLG-390L b,2005,0,Ground,Microlensing,OGLE,1,3285,6600,,5.5,,0.017,,,0.22,,
OGLE-2006-BLG-109L,OGLE-2006-BLG-109L b,2008,0,Ground,Microlensing,OGLE,2,1788.5,1510,,231,,0.73,,,0.51,,
OGLE-2006-BLG-109L,OGLE-2006-BLG-109L c,2008,0,Ground,Microlensing,OGLE,2,4927.5,1510,,86,,0.27,,,0.51,,
OGLE-2007-BLG-349L A,OGLE-2007-BLG-349L AB c,2016,0,Ground,Microlensing,OGLE,1,2557,2760,,80,,0.25171,,,0.41,,
OGLE-2007-BLG-368L,OGLE-2007-BLG-368L b,2009,0,Ground,Microlensing,OGLE,1,,5900,,20,,0.06,,,0.64,,
OGLE-2008-BLG-092L,OGLE-2008-BLG-092L b,2014,0,Ground,Microlensing,OGLE,1,,8100,,56.6,,0.18,,,0.71,,
OGLE-2008-BLG-355L,OGLE-2008-BLG-355L b,2014,0,Ground,Microlensing,OGLE,1,,6800,,1462,,4.6,,,0.37,,
OGLE-2011-BLG-0173L,OGLE-2011-BLG-0173L b,2018,0,Ground,Microlensing,OGLE,1,,6100,,60.3877,,0.19,,,0.41,,
OGLE-2011-BLG-0251L,OGLE-2011-BLG-0251L b,2012,0,Ground,Microlensing,OGLE,1,,2570,,168.44,,0.53,,,0.26,,
OGLE-2011-BLG-0265L,OGLE-2011-BLG-0265L b,2015,0,Ground,Microlensing,OGLE,1,,4380,,279.68,,0.88,,,0.21,,
OGLE-2012-BLG-0026L,OGLE-2012-BLG-0026L b,2012,0,Ground,Microlensing,OGLE,2,,4019,5,46.08535,,0.145,,,1.06,,
OGLE-2012-BLG-0026L,OGLE-2012-BLG-0026L c,2012,0,Ground,Microlensing,OGLE,2,,4019,5,273.3338,,0.86,,,1.06,,
OGLE-2012-BLG-0358L,OGLE-2012-BLG-0358L b,2013,0,Ground,Microlensing,OGLE,1,,1760,,587.96,,1.85,,,0.02,,
OGLE-2012-BLG-0406L,OGLE-2012-BLG-0406L b,2013,0,Ground,Microlensing,OGLE,1,,4970,,867.64,,2.73,,,0.44,,
OGLE-2012-BLG-0563L,OGLE-2012-BLG-0563L b,2015,0,Ground,Microlensing,OGLE,1,,1300,,123,,0.39,,,0.34,,
OGLE-2012-BLG-0724L,OGLE-2012-BLG-0724L b,2016,0,Ground,Microlensing,OGLE,1,,6700,,149.3801,,0.47,,,0.29,,
OGLE-2012-BLG-0950L,OGLE-2012-BLG-0950L b,2016,0,Ground,Microlensing,OGLE,1,,3000,,35,,0.11012,,,0.56,,
OGLE-2013-BLG-0102L,OGLE-2013-BLG-0102L b,2014,0,Ground,Microlensing,OGLE,1,,3040,,3994.486,,12.569,,,0.1,,
OGLE-2013-BLG-0132L,OGLE-2013-BLG-0132L b,2017,0,Ground,Microlensing,OGLE,1,,3900,,92.1707,,0.29,,,0.54,,
OGLE-2013-BLG-0341L B,OGLE-2013-BLG-0341L B b,2014,0,Ground,Microlensing,OGLE,1,,1161,,2.32,,0.0073,,,0.15,,
OGLE-2013-BLG-1721L,OGLE-2013-BLG-1721L b,2017,0,Ground,Microlensing,OGLE,1,,6300,,203.4112,,0.64,,,0.46,,
OGLE-2013-BLG-1761L,OGLE-2013-BLG-1761L b,2018,0,Ground,Microlensing,OGLE,1,,6900,,858.141,,2.7,,,0.33,,
OGLE-2014-BLG-0124L,OGLE-2014-BLG-0124L b,2015,0,Ground,Microlensing,OGLE,1,,4100,,162.09,,0.51,,,0.71,,
OGLE-2014-BLG-0676L,OGLE-2014-BLG-0676L b,2016,0,Ground,Microlensing,OGLE,1,,2220,,982.0947,,3.09,,,0.62,,
OGLE-2014-BLG-1722L,OGLE-2014-BLG-1722L b,2018,0,Ground,Microlensing,OGLE,2,,6400,,55.3,,0.17399,,,0.4,,
OGLE-2014-BLG-1722L,OGLE-2014-BLG-1722L c,2018,0,Ground,Microlensing,OGLE,2,,6400,,83.7,,0.26335,,,0.4,,
OGLE-2014-BLG-1760L,OGLE-2014-BLG-1760L b,2016,0,Ground,Microlensing,OGLE,1,,6860,,177.9848,,0.56,,,0.51,,
OGLE-2015-BLG-0051L,OGLE-2015-BLG-0051L b,2016,0,Ground,Microlensing,OGLE,1,,8200,,228.8376,,0.72,,,0.1,,
OGLE-2015-BLG-0954L,OGLE-2015-BLG-0954L b,2016,0,Ground,Microlensing,KMTNet,1,,600,,1080.622,,3.4,,,0.3,,
OGLE-2015-BLG-0966L,OGLE-2015-BLG-0966L b,2016,0,Ground,Microlensing,OGLE,1,,2500,,21,,0.06607,,,0.38,,
OGLE-2016-BLG-0263L,OGLE-2016-BLG-0263L b,2017,0,Ground,Microlensing,OGLE,1,,6500,,1303.103,,4.1,,,0.13,,
OGLE-2016-BLG-0613L AB,OGLE-2016-BLG-0613L AB b,2017,0,Ground,Microlensing,OGLE,1,,3410,,1328.5294,,4.18,,,0.72,,
OGLE-2016-BLG-1190L,OGLE-2016-BLG-1190L b,2017,0,Ground,Microlensing,OGLE,1,1224,6770,,4252.5654,,13.38,,,0.88,,
OGLE-2016-BLG-1195L,OGLE-2016-BLG-1195L b,2017,0,Ground,Microlensing,OGLE,1,,3910,,1.43,,0.0045,,,0.08,,
OGLE-2017-BLG-0173L,OGLE-2017-BLG-0173L b,2018,0,Ground,Microlensing,OGLE,1,,4705,,3.269,,0.01029,,,0.4,,
OGLE-2017-BLG-0373L,OGLE-2017-BLG-0373L b,2018,0,Ground,Microlensing,OGLE,1,,5915,,127.44983,,0.401,,,0.25,,
OGLE-2017-BLG-0482L,OGLE-2017-BLG-0482L b,2018,0,Ground,Microlensing,OGLE,1,,5800,,9,,0.02832,,,0.2,,
OGLE-2017-BLG-1140L,OGLE-2017-BLG-1140L b,2018,0,Ground,Microlensing,OGLE,1,,,,505.3497,,1.59,,,0.21,,
OGLE-2017-BLG-1434L,OGLE-2017-BLG-1434L b,2018,0,Ground,Microlensing,OGLE,1,,860,,4.44962,,0.014,,,0.23,,
OGLE-2017-BLG-1522L,OGLE-2017-BLG-1522L b,2018,0,Ground,Microlensing,OGLE,1,,,,238.3725,,0.75,,,0.04,,
OGLE-TR-056,OGLE-TR-056 b,2002,0,Ground,Transit,OGLE,1,1.2119189,282.84,,441.77,15.278,1.39,1.363,0.68,,,
OGLE-TR-10,OGLE-TR-10 b,2004,0,Ground,Transit,OGLE,1,3.101278,1386.23,,197.046,14.011,0.62,1.25,0.4,1.14,1.17,
OGLE-TR-111,OGLE-TR-111 b,2004,0,Ground,Transit,OGLE,1,4.0144463,1096.98,,,11.422,,1.019,,0.85,0.83,
OGLE-TR-113,OGLE-TR-113 b,2004,0,Ground,Transit,OGLE,1,1.4324752,600,,400.449,12.251,1.26,1.093,1.2,0.78,0.77,
OGLE-TR-132,OGLE-TR-132 b,2004,0,Ground,Transit,OGLE,1,1.689868,2500,1.2,375.02,13.45,1.18,1.2,0.85,1.3,1.32,0.72
OGLE-TR-182,OGLE-TR-182 b,2007,0,Ground,Transit,OGLE,1,3.9791,2669.56,,320.995,12.666,1.01,1.13,,1.14,1.14,
